基因名,在共享基因中,在HVG并集中,在HVG交集中,HVG样本数,HVG比例
LTB4R,True,True,False,3,0.09375
CARS2,True,True,False,16,0.5
DDRGK1,True,True,False,5,0.15625
CHD6,True,True,False,5,0.15625
HSD17B1,True,True,False,2,0.0625
YTHDC1,True,True,False,6,0.1875
C15orf61,True,True,False,4,0.125
CAPG,True,True,False,7,0.21875
PHKB,True,True,False,2,0.0625
HLA-DRB1,True,True,False,11,0.34375
BTG1,True,False,False,0,0.0
LMNA,True,True,False,7,0.21875
SRPX2,True,True,False,3,0.09375
MRPS22,True,True,False,11,0.34375
CXXC5,True,True,False,4,0.125
PGLS,True,True,False,3,0.09375
LTF,True,True,False,12,0.375
ZNRF1,True,True,False,4,0.125
IGFBP4,True,True,False,7,0.21875
CLASRP,True,True,False,13,0.40625
ARHGAP45,True,True,False,1,0.03125
MICALL2,True,True,False,6,0.1875
MAGI1,True,True,False,5,0.15625
SRR,True,True,False,2,0.0625
CD68,True,True,False,2,0.0625
GNL2,True,True,False,12,0.375
TP53I3,True,True,False,5,0.15625
TGFBR2,True,True,False,2,0.0625
UBXN1,True,True,False,2,0.0625
EIF3F,True,True,False,1,0.03125
SLC2A8,True,True,False,3,0.09375
LLGL1,True,True,False,1,0.03125
SLC16A3,True,False,False,0,0.0
VAV1,True,True,False,4,0.125
NDRG1,True,True,False,4,0.125
TNFRSF14,True,True,False,2,0.0625
